Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
KA26,Oct 2007,Dec 2018,"£350,000","£295,000",5+ Bedrooms,-16%
KA26,Oct 2007,Dec 2018,"£190,000","£183,000",4 Bedrooms,-4%
KA28,Oct 2007,Dec 2018,-,"£119,000",3 Bedrooms,-
KA28,Oct 2007,Dec 2018,"£45,000","£52,500",1 Bedroom,+17%
KA28,Oct 2007,Dec 2018,"£45,000","£79,000",All,+76%
KA28,Oct 2007,Dec 2018,-,"£82,500",2 Bedrooms,-
KA28,Oct 2007,Dec 2018,-,"£200,000",5+ Bedrooms,-
KA28,Oct 2007,Dec 2018,-,"£230,000",4 Bedrooms,-
KA27,Oct 2007,Dec 2018,"£275,000","£239,975",3 Bedrooms,-13%
KA27,Oct 2007,Dec 2018,"£90,000","£155,000",1 Bedroom,+72%
KA27,Oct 2007,Dec 2018,"£220,000","£260,000",All,+18%
KA27,Oct 2007,Dec 2018,"£164,500","£252,500",2 Bedrooms,+53%
KA27,Oct 2007,Dec 2018,"£355,000","£425,000",5+ Bedrooms,+20%
KA27,Oct 2007,Dec 2018,"£320,000","£290,000",4 Bedrooms,-9%
KA29,Oct 2007,Dec 2018,-,"£177,500",3 Bedrooms,-
KA29,Oct 2007,Dec 2018,-,"£70,000",1 Bedroom,-
KA29,Oct 2007,Dec 2018,"£495,000","£177,500",All,-64%
KA29,Oct 2007,Dec 2018,-,"£69,000",2 Bedrooms,-
KA29,Oct 2007,Dec 2018,"£495,000",-,5+ Bedrooms,-
KA29,Oct 2007,Dec 2018,-,"£324,000",4 Bedrooms,-
KA3,Oct 2007,Dec 2018,"£155,000","£125,000",3 Bedrooms,-19%
KA3,Oct 2007,Dec 2018,"£55,000","£51,248",1 Bedroom,-7%
KA3,Oct 2007,Dec 2018,"£165,000","£113,500",All,-31%
KA3,Oct 2007,Dec 2018,"£113,500","£75,000",2 Bedrooms,-34%
KA3,Oct 2007,Dec 2018,"£299,950","£450,000",5+ Bedrooms,+50%
KA3,Oct 2007,Dec 2018,"£210,000","£275,000",4 Bedrooms,+31%
KA4,Oct 2007,Dec 2018,"£132,000","£149,000",3 Bedrooms,+13%
KA4,Oct 2007,Dec 2018,"£71,000","£42,248",1 Bedroom,-40%
KA4,Oct 2007,Dec 2018,"£123,500","£90,000",All,-27%
KA4,Oct 2007,Dec 2018,"£72,000","£39,995",2 Bedrooms,-44%
KA4,Oct 2007,Dec 2018,"£212,498","£227,500",5+ Bedrooms,+7%
KA4,Oct 2007,Dec 2018,"£299,995","£199,995",4 Bedrooms,-33%
KA30,Oct 2007,Dec 2018,"£185,000","£165,000",3 Bedrooms,-11%
KA30,Oct 2007,Dec 2018,"£49,995","£39,995",1 Bedroom,-20%
KA30,Oct 2007,Dec 2018,"£139,000","£80,000",All,-42%
KA30,Oct 2007,Dec 2018,"£124,750","£80,000",2 Bedrooms,-36%
KA30,Oct 2007,Dec 2018,"£299,000","£362,000",5+ Bedrooms,+21%
KA30,Oct 2007,Dec 2018,"£257,447","£215,000",4 Bedrooms,-16%
KA5,Oct 2007,Dec 2018,"£132,500","£90,000",3 Bedrooms,-32%
KA5,Oct 2007,Dec 2018,-,"£46,498",1 Bedroom,-
KA5,Oct 2007,Dec 2018,"£175,000","£80,000",All,-54%
KA5,Oct 2007,Dec 2018,"£95,000","£57,000",2 Bedrooms,-40%
KA5,Oct 2007,Dec 2018,"£485,000","£255,000",5+ Bedrooms,-47%
KA5,Oct 2007,Dec 2018,"£239,750","£245,000",4 Bedrooms,+2%
KA6,Oct 2007,Dec 2018,"£148,998","£108,500",3 Bedrooms,-27%
KA6,Oct 2007,Dec 2018,"£45,000","£77,750",1 Bedroom,+73%
KA6,Oct 2007,Dec 2018,"£165,000","£112,500",All,-32%
KA6,Oct 2007,Dec 2018,"£110,000","£66,975",2 Bedrooms,-39%
KA6,Oct 2007,Dec 2018,"£450,000","£450,000",5+ Bedrooms,0%
KA6,Oct 2007,Dec 2018,"£192,000","£275,000",4 Bedrooms,+43%
KA7,Oct 2007,Dec 2018,"£185,000","£195,000",3 Bedrooms,+5%
KA7,Oct 2007,Dec 2018,"£89,248","£54,500",1 Bedroom,-39%
KA7,Oct 2007,Dec 2018,"£195,000","£185,000",All,-5%
KA7,Oct 2007,Dec 2018,"£134,500","£124,998",2 Bedrooms,-7%
KA7,Oct 2007,Dec 2018,"£465,000","£375,000",5+ Bedrooms,-19%
KA7,Oct 2007,Dec 2018,"£275,000","£270,000",4 Bedrooms,-2%
KA8,Oct 2007,Dec 2018,"£130,000","£115,000",3 Bedrooms,-12%
KA8,Oct 2007,Dec 2018,"£115,000","£49,000",1 Bedroom,-57%
KA8,Oct 2007,Dec 2018,"£125,000","£72,000",All,-42%
KA8,Oct 2007,Dec 2018,"£110,000","£65,000",2 Bedrooms,-41%
KA8,Oct 2007,Dec 2018,"£195,000","£382,995",5+ Bedrooms,+96%
KA8,Oct 2007,Dec 2018,"£197,500",-,4 Bedrooms,-
KA9,Oct 2007,Dec 2018,"£169,500","£125,000",3 Bedrooms,-26%
KA9,Oct 2007,Dec 2018,"£112,000","£85,000",1 Bedroom,-24%
KA9,Oct 2007,Dec 2018,"£169,000","£119,995",All,-29%
KA9,Oct 2007,Dec 2018,"£145,250","£117,500",2 Bedrooms,-19%
KA9,Oct 2007,Dec 2018,"£360,000","£407,500",5+ Bedrooms,+13%
KA9,Oct 2007,Dec 2018,"£199,000","£245,000",4 Bedrooms,+23%
KT1,Sep 2006,Dec 2018,"£357,500","£675,000",3 Bedrooms,+89%
KT1,Sep 2006,Dec 2018,"£195,000","£290,000",1 Bedroom,+49%
